epoch,loss_sum
20,193.381
40,194.083
60,189.816
80,183.537
100,182.969
120,182.157
140,182.315
160,183.457
180,184.076
200,184.043
220,184.729
240,185.11
260,185.302
280,185.115
300,185.252
320,184.901
340,184.153
360,182.479
380,181.698
400,181.322
420,179.263
440,178.375
460,175.772
480,174.366
500,174.068
520,173.967
540,173.487
560,172.835
580,173.12
600,175.287
620,175.026
640,173.445
660,171.254
680,169.587
700,168.505
720,168.422
740,168.094
760,165.881
780,164.485
800,163.326
820,163.582
840,163.859
860,162.383
880,161.47
900,159.937
920,158.55
940,157.19
960,156.191
980,155.303
1000,153.846
1020,152.742
1040,151.904
1060,150.917
1080,149.781
1100,148.756
1120,147.895
1140,147.204
1160,146.661
1180,146.207
1200,145.814
1220,145.477
1240,145.18
1260,144.909
1280,144.655
1300,144.401
1320,144.133
1340,143.84
1360,143.515
1380,143.174
1400,142.833
1420,142.49
1440,142.132
1460,141.726
1480,141.235
1500,140.834
1520,140.632
1540,140.474
1560,140.324
1580,140.18
1600,140.018
1620,139.841
1640,139.661
1660,139.469
1680,139.262
1700,139.054
1720,138.844
1740,138.623
1760,138.399
1780,138.181
1800,137.955
1820,137.724
1840,137.498
1860,137.272
1880,137.037
1900,136.807
1920,136.597
1940,136.409
1960,136.24
1980,136.09
2000,135.952
2020,135.814
2040,135.676
2060,135.543
