Attrition,TotalWorkingYears,Age,JobLevel,YearsInCurrentRole,MonthlyIncome,YearsWithCurrManager,YearsAtCompany,StockOptionLevel,JobInvolvement,OverTime_No,OverTime_Yes,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely
0,1,33,1,1,2008,0,1,3,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,24,42,5,6,18880,14,22,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,36,56,4,7,13212,7,7,3,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,14,59,3,4,11904,4,6,1,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,10,38,2,3,6077,2,6,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,10,34,1,9,2929,7,10,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,8,42,1,2,2576,2,5,1,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,5,24,2,4,4162,3,5,2,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0,10,29,2,0,4187,9,10,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,28,46,4,7,16872,7,7,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1,8,33,1,4,2436,4,5,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,4,35,1,2,4014,2,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,6,24,1,2,3907,2,6,3,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,7,40,1,2,2387,3,4,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,5,24,2,2,4377,2,4,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,7,36,2,2,4663,1,3,2,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,7,31,1,2,4084,7,7,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,3,29,1,2,3760,2,3,3,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1,24,44,3,6,10482,6,20,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,10,39,2,7,5377,7,7,3,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,12,36,2,7,5079,7,7,2,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,5,35,2,2,4968,2,5,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,9,32,2,1,6667,2,5,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,3,24,1,2,2400,1,2,2,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0,1,35,1,0,1951,0,1,1,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,10,44,1,2,2362,2,3,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,8,26,1,7,2741,0,7,1,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1,25,1,0,2413,0,1,3,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,10,29,2,0,6644,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0,12,30,2,9,3072,10,12,2,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,12,37,3,5,7491,2,6,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1,9,29,3,7,7553,7,8,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,35,53,3,2,10934,4,5,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0,5,33,2,3,4373,3,4,2,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,10,29,1,7,3339,7,7,2,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,24,42,5,7,18430,9,24,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,9,27,1,7,2235,8,9,2,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,7,48,1,0,2559,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,23,43,3,7,10231,17,21,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,27,46,4,0,17567,12,26,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,8,39,1,3,3755,7,8,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,5,27,2,2,4342,1,4,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,12,36,1,10,3692,7,11,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,10,31,3,0,8161,0,1,3,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
