Attrition,TotalWorkingYears,Age,JobLevel,YearsInCurrentRole,MonthlyIncome,YearsWithCurrManager,YearsAtCompany,StockOptionLevel,JobInvolvement,OverTime_No,OverTime_Yes,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely
0,5,47,2,0,2976,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,10,29,2,7,8620,4,10,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,10,29,2,7,4319,9,10,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
0,10,41,2,2,6430,2,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,23,1,0,1601,0,0,2,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,10,35,2,2,5689,2,10,2,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,24,54,5,2,19406,2,4,1,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,5,24,2,2,4260,3,5,1,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,2,20,1,2,2728,2,2,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,10,31,3,8,9852,6,10,1,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,24,44,3,6,10248,17,22,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,15,40,3,11,10855,11,12,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0,10,49,2,2,4789,2,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,6,44,1,2,3420,3,5,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0,6,28,1,5,3196,3,6,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,5,37,2,2,4189,3,5,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
