OverTime,TotalWorkingYears,JobRole,Age,JobLevel,MaritalStatus,YearsInCurrentRole,MonthlyIncome,YearsWithCurrManager,YearsAtCompany,StockOptionLevel,BusinessTravel,JobInvolvement,Attrition
No,5,Sales Representative,47,2,Single,0,2976,0,0,0,Travel_Frequently,3,No
No,10,Sales Executive,29,2,Divorced,7,8620,4,10,2,Travel_Rarely,2,No
No,10,Manufacturing Director,29,2,Married,7,4319,9,10,1,Non-Travel,3,No
No,10,Human Resources,41,2,Married,2,6430,2,3,1,Non-Travel,1,No
Yes,1,Laboratory Technician,23,1,Married,0,1601,0,0,2,Travel_Rarely,4,Yes
Yes,10,Healthcare Representative,35,2,Married,2,5689,2,10,2,Travel_Frequently,3,No
No,24,Research Director,54,5,Married,2,19406,2,4,1,Travel_Rarely,3,No
Yes,5,Sales Executive,24,2,Divorced,2,4260,3,5,1,Travel_Rarely,3,No
No,2,Sales Representative,20,1,Single,2,2728,2,2,0,Travel_Rarely,3,No
Yes,10,Sales Executive,31,3,Divorced,8,9852,6,10,1,Non-Travel,3,No
No,24,Healthcare Representative,44,3,Married,6,10248,17,22,1,Travel_Rarely,2,No
No,15,Sales Executive,40,3,Married,11,10855,11,12,1,Travel_Rarely,2,No
No,10,Laboratory Technician,49,2,Married,2,4789,2,3,1,Travel_Rarely,2,No
No,6,Research Scientist,44,1,Single,2,3420,3,5,0,Travel_Rarely,3,No
No,6,Laboratory Technician,28,1,Married,5,3196,3,6,3,Travel_Rarely,2,No
No,5,Sales Executive,37,2,Married,2,4189,3,5,2,Travel_Rarely,2,No
No,5,Sales Executive,35,2,Married,2,4601,0,5,0,Travel_Rarely,3,No
No,1,Sales Representative,28,1,Married,0,1052,0,1,0,Travel_Rarely,3,No
No,9,Research Scientist,34,2,Married,2,5484,1,2,1,Travel_Rarely,3,No
No,8,Sales Executive,40,2,Married,7,8396,5,7,1,Travel_Rarely,3,No
No,7,Laboratory Technician,47,1,Single,2,2105,0,2,0,Travel_Rarely,3,No
No,20,Healthcare Representative,50,3,Single,3,10496,3,4,0,Travel_Rarely,2,No
No,1,Laboratory Technician,27,1,Divorced,0,2341,0,1,1,Travel_Rarely,3,No
No,5,Sales Executive,45,2,Married,1,4286,0,1,2,Travel_Frequently,3,Yes
